change_plants|Pflanzen ändern
secret_code_2|Danke für das Abonnieren meines Newsletters! Neue Pflanzen und Blumen sind ab jetzt freigeschaltet.
secret_code_3|Du kannst nun zwischen mehreren Raumschiffen und Landeplätzen auswählen.
enter_a_secret_code|Füge einen Geheimcode ein
enter_secret_code|Füge einen Geheimcode ein
secret_code_incorrect|Der Code war leider falsch!
citizen_name_stats|Du hast [0] Einwohner mit [1] einzigartigen Namen. Der häufigste Name ist [2] und kommt [3]-mal vor.
landing_pads_stats|Insgesamt wurden deine Landeplätze [0]-mal genutzt, davon [1]-mal als Umstieg.
landing_pads_air|Aktuell sind [0] Raumschiffe in der Luft mit [1] Einwohnern an Bord.
hyper_elevators_stats|Dein Hyperlift wurde [0]-mal genutzt
train_station_stats|Deine Bahnstationen wurden [0]-mal genutzt
teleporter_stats|Deine Teleporter wurden [0]-mal genutzt
stats_info|Okay, hier sind einige Fakten zu deiner Stadt!
building_stats|Es gibt [0] Gebäude. Der höchste Turm ist [1] Gebäude hoch.
|
one|Eins
max|Max
all|Alle
|
assign_workers|Teile Arbeiter ein
set_priority_jobs_mobi|Tab um die Priorität des Jobs identisch mit der Anzahl an Arbeitern zu setzen.
set_priority_jobs_desktop|Klicke um die Priorität des Jobs identisch mit der Anzahl an Arbeitern zu setzen. Umschalt+Klick um es auf 0 zu setzen. Strg+Klick um es auf Max zu setzen.
no_work_buildings|Es gibt noch keine Gebäude mit Arbeitern!
|
highlighting|Hervorheben von [0]
select_any|Wähle alle
|
today|Heute
yesterday|Gestern
n_days_ago|Vor [0] Tagen
production|Produktion
usage|Verbrauch
|
store|Shop
store_description|Schalte zusätzliche Gebäude und Optionen frei und entferne die Werbung. Vielen lieben Dank für deine Unterstützung!
already_has_premium|Du hast bereits Premium, Danke!
premium_upgrade|Upgrade zu Premium!
get_premium_edition|Bekomme Premium hier!
premium_advantage_2|Pfadfindungsexplorer um Einwohner beim Reisen zu beobachten
premium_advantage_3|Kreativmodus im freien Spiel
premium_advantage_4|Entferne sämtliche Werbung & ohne Werbung boosten
premium_advantage_5|Und vieles mehr!
removed_ads_already|Du hast Werbung bereits entfernt. Danke!
remove_ads|Entferne Werbung
remove_ads_1|Entferne die gezwungene Werbung
remove_ads_2|Booste ohne Werbung zu schauen
store_not_available|Der Shop ist gerade nicht erreichbar
purchase_failed|Irgendwas lief da schief. Überprüfe bitte deine Internetverbindung und/oder versuche es später noch einmal.
purchase_processing|Der Einkauf wird verarbeitet. Sollte es Probleme geben, kontaktiere mich gerne unter info@florianvanstrien.nl
purchased|Gekauft
not_available|n/a
|
selected_x|Ausgewählt: [0]
deselect|Abwählen
no_info_for_building|Keine Info für dieses Gebäude
no_average_yet|Kein Durchschnitt bislang
average_travel_time|Durchschnitt: [0] Minuten
collapse_info|Info verstecken
show_info|Info anzeigen
check_commute_time|Schaue nach, wie lange Einwohner bis zu ihrer Arbeit benötigen. [Tap] auf ein Gebäude für Routen.
data_available_time|Es braucht einen Tag bis Daten verfügbar und akkurat sind.
just_created_save|Bitte beachte: Du hast die Stadt eben erst erstellt.
just_loaded_save|Bitte beachte: Du hast die Stadt eben erst geladen.
|
thanks_very_much|Vielen Dank Dir!
premium_activated|Die Premiumfunktionen wurden nun aktiviert. Schaue unbedingt auch in die erweiterten Spieloptionen für neue Einstellungen.
remove_ads_activated|Du wirst nun keine gezwungene Werbung mehr erhalten und kannst ohne Werbung boosten. Alternativ kannst du den Knopf auch komplett in den erweiterten Einstellungen entfernen.
premium_upgrade_activated|Die Premiumfunktionen wurden nun aktiviert.
ad_failed_to_load|Die Werbung konnte nicht geladen werden. Bitte versuche es später noch einmal.
watch_ad_temp_unlock|Schaue eine Werbung um es temporär freizuschalten.
mod_resource_not_loaded|Eine Modresource konnte nicht geladen werden.
technical_details|Technische Details:
|
first_house_cheaper|Das erste Haus ist billiger, da du Überreste deines Schiffs verwenden kannst.
change_pop_limit|[Tap] auf die Bevölkerungsanzeige um das Limit zu ändern.
pop_limit_reached|Bevölkerungslimit erreicht!
|
claim_within_n_s|Sammel es in den nächsten [0]s ein.
2x_boost|2-fache Boostdauer!
3x_boost|3-fache Boostdauer!
double_bonus_boost|Doppelte Bonusressourcen!
triple_bonus_boost|Dreifache Bonusressourcen!
2x_boost_claimed|Du hast einen besonderen Boost erhalten. Dieser hält doppelt so lange!
3x_boost_claimed|Du hast einen besonderen Boost erhalten. Dieser hält dreifach so lange!
double_bonus_boost_claimed|Du hast einen besonderen Boost erhalten. Die direkten Belohnungen wurden verdoppelt!
triple_bonus_boost_claimed|Du hast einen besonderen Boost erhalten. Die direkten Belohnungen wurden verdreifacht!
boost_failed|Ups, der Boost konnte nicht laden. Versuche es später noch einmal!
boost|Boost
boost_active|Aktiver Boost
boost_active_description|Sämtliche Ressourcenproduktion ist nun verdoppelt
boost_use_case|Verdoppel deine Ressourcenproduktion durch eine kurze Werbung!
boost_earn_extra_reward|Und bekomme zusätzlich eine kleine, zufällige Belohnung an Ressourcen!
|
rationing_halves_this|Rationierung halbiert es.
food_description_1|Deine Einwohner müssen essen!
food_description_2|Erwachsene verbrauchen eine Nahrungseinheit pro Tag, Kinder eine halbe.
food_description_3|Kräuter reduzieren das um [0]/[1]%.
food_description_4|Aktuell werden [0] Nahrung pro Tag verbraucht.
|
night_clubs|Nachtclubs
pubs_restaurants|Kneipen & Restaurants
art|Kunst
nature|Natur
gaming|Gaming
libraries|Bibliotheken
|
citizens_unhappy|Deine Einwohner sind sehr unglücklich! Sie arbeiten viel langsamer, wenn sie unglücklich sind. Es wäre also nicht schlecht ihre Probleme zu lösen.
more_happiness_info|[Tap] auf den Zufriedenheitsknopf unten-rechts für mehr Informationen.
citizens_unhappy_title|Deine Einwohner sind sehr unglücklich!
|
operating_cost_pd|Betriebskosten/Tag
festival_doing|Das Festival ist im Gange!
music_festival_boost|Musikfestival-Boost
music_festival_planned|Du hast ein großartiges Musikfestival geplant!
music_festival_doing|Aktuell genießen deine Einwohner das großartige Musikfestival!
alien_ruins|Alienruinen
|
alien_ruins_find_1a|Überwachsen
alien_ruins_find_1b|Großer Stein
alien_ruins_find_1c|Kleine Kiesel
alien_ruins_find_1d|Alienkühlschrank
alien_ruins_find_1e|Orange Steine
alien_ruins_find_2a|Violettes Holz
alien_ruins_find_2b|Große Säule
alien_ruins_find_2c|Piepsendes Gerät
alien_ruins_find_2d|Essen in Dosen
alien_ruins_find_2e|Pilze
alien_ruins_find_3a|Kiste mit Kabeln
alien_ruins_find_3b|Stapel Holz
alien_ruins_find_3c|Große Steintür
alien_ruins_find_3d|Beerenbüsche
alien_ruins_find_3e|Zahnräder
alien_ruins_find_4a|Felsbilder mit Farmen
alien_ruins_find_4b|Alienhaus-Blaupause
alien_ruins_find_4c|Informationen zu Alienfabriken
alien_ruins_find_4d|Aliengehirne
alien_ruins_find_4e|Merkwürdiges Gerät
|
alien_ruins_description_1a|Dein Erkundungsteam schnitt einige Wurzeln für 20 Holz ab.
alien_ruins_description_1b|Dein Erkundungsteam erforschte einen großen Felsen für 25 Steine.
alien_ruins_description_1c|Dein Erkundungsteam fiel fast über eine große Ansammlung lockerer Kiesel. Sie nahmen sie für 22 Steine mit.
alien_ruins_description_1d|Dein Erkundungsteam fand einen Alienkühlschrank mit 12 Nahrung. Sie bauten ihn außerdem für 5 Maschinenteile auseinander.
alien_ruins_description_1e|Dein Erkundungsteam fand einige orangene Felsen. Sie gewannen 35 Steine.
|
alien_ruins_description_2a|Dein Erkundungsteam fand einen versteckten Vorrat mit 40 merkwürdigen Einheiten von Holz.
alien_ruins_description_2b|Dein Erkundungsteam brach durch eine große Säule, welche den Weg versperrte. Sie erbrachte 35 Stein.
alien_ruins_description_2c|Dein Erkundungsteam baute ein merkwürdiges, piepsendes Gerät auseinander und bekam so 20 Maschinenteile.
alien_ruins_description_2d|Dein Erkundungsteam fand einige Dosen mit süßlich schmeckenden Pflanzen. Zur Überraschung aller sind die Pflanzen äußerst nährstoffreich. Dein Erkundungsteam nahm sie für 42 Nahrung mit.
alien_ruins_description_2e|Dein Erkundungsteam fand einige sehr merkwürdige Pilze. Ganz vorsichtig, aßen sie einige. Sie schmeckten gut und wurden für 55 Nahrung mitgenommen.
|
alien_ruins_description_3a|Dein Erkundungsteam fand eine hölzerne Box mit Kabeln. Die Box bestand aus 10 Holz und die Kabel aus 5 Maschinenteilen.
alien_ruins_description_3b|Dein Erkundungsteam fand einen großen Holzhaufen bestehend aus 17 Holz.
alien_ruins_description_3c|Dein Erkundungsteam brach durch eine steinerne Tür für 15 Stein.
alien_ruins_description_3d|Dein Erkundungsteam fand einige Beerenbüsche für 22 Nahrung.
alien_ruins_description_3e|Dein Erkundungsteam fand einen Haufen Getriebe. Sie eignen sich für 7 Maschinenteile.
|
alien_ruins_description_4a|Dein Erkundungsteam fand einige Felszeichnungen mit einer besseren Farmtechnik. Deine Ernten produzieren nun 5 zusätzliche Nahrung.
alien_ruins_description_4b|Dein Erkundungsteam fand eine Blaupause für ein Alienhaus.
alien_ruins_description_4c|Dein Erkundungsteam fand ein Buch mit Informationen über Alienfabriken. Maschinenteile werden nun 10% schneller produziert.
alien_ruins_description_4d|Dein Erkundungsteam fand ein perfekt erhaltenes Aliengehirn im Glas. Mit dem daraus gewonnen Wissen können Labore nun 5% mehr Wissen produzieren.
alien_ruins_description_4e|Dein Erkundungsteam fand ein kleines Gerät, welches eventuell etwas mit den unerreichbaren Gebieten zu tun hat.
|
n_pct_explored|Zu [0]% erkundet.
findings|Funde
exploration_nothing_found|Dein Erkundungsteam hat bislang noch nichts hier gefunden!
move_ruins_howto|[Tap] auf eine leere Stelle um die Ruinen dorthin zu verlegen.
move|Bewegen
|
language|Sprache
this_language_name|Deutsch
|
forest|Wald
pine_forest|Pinienwald
forest_management|Waldwirtschaftsmanagement
forest_management_only_this|Ändere nur das Management für diesen Wald.
forest_management_all|Ändere das Management für alle Wälder.
forest_management_question_1|Was sollen Holzhacker mit allen Wäldern anstellen?
forest_management_question_2|Was sollen Holzhacker mit diesem Wald anstellen?
forest_regrow|Fällen und neupflanzen
forest_regrow_description_1|Fällt die Bäume und lasst sie neu wachsen.
forest_regrow_description_2|Fällt den Baum und lasst ihn neu wachsen.
forest_protect|Beschützen
forest_protect_description_1|Keine Bäume werden gefällt.
forest_protect_description_2|Diese Bäume werden nicht gefällt.
forest_uproot|Fällen und entwurzeln
forest_uproot_description_1|Fällt die Bäume und schafft Raum für andere Dinge.
forest_uproot_description_2|Fällt den Baum und schafft Raum für andere Dinge.
forest_instant_uproot|Entwurzeln
forest_instant_uproot_description|Zerstöre den Wald sofort.
prioritized|Priorisiert
prioritize|Priorisieren
prioritize_description_1|Holzfäller fällen diesen Wald zuerst. [Tap] um es rückgängig zu machen.
prioritize_description_2|Wenn dieser Wald priorisiert ist, wird er zuerst gefällt.
really_uproot|Wirklich entwurzeln?
|
pct_grown|Zu [0]% gewachsen.
pct_left|[0]/[1] [2] verbleibend.
|
rock|Fels
rock_mining|Gesteinsabbau
set_management_rock|Ändere nur das Management für diesen Felsen.
set_management_all_rocks|Ändere das Management aller Felsen.
rock_management_question_1|Was sollen Bergmänner mit den Felsen tun?
rock_management_question_2|Was sollen Bergmänner mit diesem Felsen tun?
rock_management_mine|Abbauen
rock_management_mine_description_1|Abbauen
rock_management_mine_description_2|Felsen abbauen.
rock_management_protect_description_1|Baue die Felsen nicht ab und behalte sie als Deko.
rock_management_protect_description_2|Baue den Felsen nicht ab und behalte ihn als Deko.
rock_prioritized_description|Bergmänner bauen diesen Felsen zuerst ab. [Tap] zum Deaktivieren.
rock_prioritized_description_2|Wenn dieser Fels priorisiert ist, wird er zuerst abgebaut.
|
buildinginfo.json/NormalHouse.name|Haus
buildinginfo.json/NormalHouse.description|Deine Einwohner würden ein Dach über den Kopf gut heißen.
buildinginfo.json/AlienHouse.name|Alienhaus
buildinginfo.json/AlienHouse.description|5 Leute können in diesem merkwürdigen Haus voll außerweltlicher Technologie leben.
buildinginfo.json/ModernRusticHome.name|Modern-Rustikales Haus
buildinginfo.json/ModernRusticHome.description|Dieses rustikale Haus lässt Menschen an die Erde denken. Die Qualität erhöht sich um 15 wenn wenigstens 3 andere Modern-Rustikale Häuser oder Parks in der Nähe sind.
buildinginfo.json/ModernRusticHome.tooltipBottomIconInfo_0|Überprüftes Areal für Quälität
buildinginfo.json/ComfortableHouse.name|Holzhaus
buildinginfo.json/ComfortableHouse.description|Nicht gerade luxuriös, aber trotzdem recht komfortabel.
buildinginfo.json/MechanicalHouse.name|Mechanisches Haus
buildinginfo.json/MechanicalHouse.description|Die Motoren und Heizung des Hauses benötigen eine Fabrik für Maschinenteile um zu funktionieren. Die Qualität steigt um 50, wenn sich eine in der Umgebung befindet.
buildinginfo.json/MechanicalHouse.showUnlockHint|Baue 3 Fabriken für Maschinenteile!
buildinginfo.json/MechanicalHouse.tooltipBottomIconInfo_0|Überprüftes Areal für Quälität
buildinginfo.json/SpaciousHouse.name|Geräumiges Haus
buildinginfo.json/SpaciousHouse.description|Ein modernes Haus mit viel Platz.
buildinginfo.json/CuttingEdgeHome.name|Hochmodernes Haus
buildinginfo.json/CuttingEdgeHome.description|Ein hypermodernes Haus bis zum Rand vollgestopft mit Technik.
buildinginfo.json/CuttingEdgeHome.showUnlockHint|Baue das Zentrum für Lebensforschung!
buildinginfo.json/ParkPod.name|Bungalow
buildinginfo.json/ParkPod.description|Ein Haus in der Mitte eines Parks
buildinginfo.json/TinkerersHome.name|Tüftlerhaus
buildinginfo.json/TinkerersHome.description|Ein Haus für Erfinder und Handwerker. Einwohner genießen zusätzliche Bildung.
buildinginfo.json/FarmHouse.name|Gemeinschaftshaus
buildinginfo.json/FarmHouse.description|Das Haus verströmt ein starkes Gefühl von Gemeinschaft. Außerdem wird entweder Nahrung, Holz oder Stein in kleinen Mengen produziert. Externe Upgrades beeinflussen die Produktion nicht.
buildinginfo.json/BlossomHut.name|Blütenhaus
buildinginfo.json/BlossomHut.description|Einwohner dieses Hauses blühen auf!
buildinginfo.json/BlossomHut.showUnlockHint|Baue 10 Blütenrestaurants!
buildinginfo.json/FuturisticHome.name|Futuristisches Haus
buildinginfo.json/FuturisticHome.description|Einwohner bekommen automatisch eine Krankenversicherung und Grundausbildung.
buildinginfo.json/Villa.name|Villa
buildinginfo.json/Villa.description|Eine luxuriöse, moderne Villa mit eigenem Teleporter.
buildinginfo.json/FlowerPenthouse.name|Blumen-Penthouse
buildinginfo.json/FlowerPenthouse.description|Ein luxuriöses Haus auf dem Dach mit eigenem Teleporter.
buildinginfo.json/LandingSite.name|Landeplatz
buildinginfo.json/LandingSite.description|Der Landeplatz ist wie eine Bushaltestelle, nur für die Luft. Menschen können hier in ein Raumschiff ein- und woanders wieder aussteigen. Kann nur auf dem Boden oder Dach platziert werden.
buildinginfo.json/LandedExplorationShip.name|Erforschungsschiff
buildinginfo.json/LandedExplorationShip.description|In diesem Schiff lebt es sich vielleicht nicht sehr komfortabel, aber dafür umso abenteuerlicher. Kann nur auf dem Boden und Dach platziert werden.
buildinginfo.json/HyperElevator.name|Hyperlift
buildinginfo.json/HyperElevator.description|Erlaubt Einwohnern in einem Gebäude schnell die Etage zu wechseln. Muss in einer geraden Linie platziert werden, aber kann von anderen Gebäuden unterbrochen werden.
buildinginfo.json/HyperElevator.showUnlockHint|Habe 200 Einwohner!
buildinginfo.json/TrainStation.name|Zugstation
buildinginfo.json/TrainStation.description|Erlaubt Einwohnern horizontal zu reisen. Muss in einer geraden Linie platziert werden, aber kann von anderen Gebäuden unterbrochen werden. Jede Station kommt mit einem Zug.
buildinginfo.json/Teleporter.name|Teleporter
buildinginfo.json/Teleporter.description|Die schnellste Form zu reisen. Kitzelt ein wenig.
buildinginfo.json/WoodcuttingCentre.name|Holzfällerzentrum
buildinginfo.json/WoodcuttingCentre.description|Holzfäller holen sich ihre Axt und begeben sich zum nächstgelegenen Wald.
buildinginfo.json/StoneMine.name|Steinmine
buildinginfo.json/StoneMine.description|Bergmänner holen sich ihre Spitzhacke und begeben sich zum nächstgelegenen Felsen.
buildinginfo.json/IndoorFarm.name|Gewächshaus
buildinginfo.json/IndoorFarm.description|Pflanzen können hier für Nahrung angebaut werden.
buildinginfo.json/ExplorationCentre.name|Erforschungszentrum
buildinginfo.json/ExplorationCentre.description|Erforsche Alienruinen für Wissen, Ressourcen und besondere Boni. Wenn alle Ruinen erforscht sind, untersuchen die Forscher ihre Funde für Wissen.
buildinginfo.json/MachinePartsFactory.name|Fabrik für Maschinenteile
buildinginfo.json/MachinePartsFactory.description|Produziert Maschinenteile mit Stein. 3 Steine ergeben ein Maschinenteil.
buildinginfo.json/Laboratory.name|Labor
buildinginfo.json/Laboratory.description|Wissenschaftler sammeln hier Wissen. Boostet außerdem angrenzende Farmen und Baumplantagen.
buildinginfo.json/Laboratory.tooltipBottomIconInfo_0|Überprüftes Areal für Upgrades
buildinginfo.json/TreePlantation.name|Baumplantage
buildinginfo.json/TreePlantation.description|Diese Bäume werden in einer optimalen Umgebung gehalten und wachsen schneller als ihre Verwandten draußen. Holzfäller von einem Holzfällerzentrum helfen gerne beim Fällen.
buildinginfo.json/StoneTeleporter.name|Felsteleporter
buildinginfo.json/StoneTeleporter.description|Teleportiert Meteoriten in die Stadt. Bergmänner von Steinbrüchen helfen gerne beim Abbau.
buildinginfo.json/RefinedMetalFactory.name|Fabrik für veredelte Metalle
buildinginfo.json/RefinedMetalFactory.description|Verwendet Stein um veredeltes Metall zu gewinnen. 5 Steine ergeben ein veredeltes Metall.
buildinginfo.json/ComputerChipFactory.name|Fabrik für Computerchips
buildinginfo.json/ComputerChipFactory.description|Verwendet veredelte Metalle um Computerchips herzustellen. 7 veredelte Metalle ergeben einen Computerchip.
buildinginfo.json/EcoFarm.name|Ökofarm
buildinginfo.json/EcoFarm.description|Produziert große Mengen an Nahrung und gibt einen kleinen Naturbonus.
buildinginfo.json/EcoFarm.showUnlockHint|Baue eine experimentelle Farm und 10 botanische Gärten!
buildinginfo.json/FarmByProductProcessor.name|Nebenproduktprozessor
buildinginfo.json/FarmByProductProcessor.description|Produziert Holz für jede angrenzende Farm. Eine Farm erzeugt nur genügend Nebenprodukte für einen Prozessor.
buildinginfo.json/FarmByProductProcessor.tooltipBottomIconInfo_0|Überprüftes Areal für Farmen
buildinginfo.json/ExperimentationLab.name|Experimentelles Labor
buildinginfo.json/ExperimentationLab.description|Wissenschaftler experimentieren hier mit Maschinenteilen und generieren 5 Wissen pro genutztem Maschinenteil. Der Wissenszuwachs ist stärker als bei normalen Laboren.\nFabriken für veredeltes Metall über und unter diesem Gebäude arbeiten schneller und nutzen 10% weniger Stein pro veredeltem Metall.
buildinginfo.json/ExperimentationLab.showUnlockHint|Baue 12 mechanische Häuser, 10 Fabriken für veredeltes Metall und 3 Fabriken für Computerchips!
buildinginfo.json/ExperimentationLab.tooltipBottomIconInfo_0|Areal für Boost
buildinginfo.json/GrapheneLab.name|Graphenlabor
buildinginfo.json/GrapheneLab.description|Dieses Labor forscht an der Produktion und Anwendung von Graphen. So wird nicht nur Wissen gewonnen, sondern auch für 2 Stein ein Graphen.
buildinginfo.json/GrapheneFactory.name|Graphenfabrik
buildinginfo.json/GrapheneFactory.description|Diese Fabrik stellt Graphen her. Für ein Graphen werden 10 Wissen und ein Stein genutzt. Ist die Fabrik zur Rechten eines Felsteleporters wird kein Stein benötigt.
buildinginfo.json/GrapheneFactory.tooltipBottomIconInfo_0|Areal für Felsteleporter
buildinginfo.json/School.name|Schule
buildinginfo.json/School.description|Bildet Kinder, erhöht die Produktivität im Berufsbeleben.
buildinginfo.json/Library.name|Bibliothek
buildinginfo.json/Library.description|Verbessert die Bildung Besucher jeglichen Alters.
buildinginfo.json/HerbGarden.name|Kräutergarten
buildinginfo.json/HerbGarden.description|Kräuter und Gewürze wachsen hier. Die verbessern den Geschmack von Essen und reduzieren die Menge an Nahrung, welche Einwohner benötigen. Andere Kräuter haben andere Auswirkungen auf die Bevölkerung.
buildinginfo.json/HerbGarden.showUnlockHint|Baue 2 Restaurants!
buildinginfo.json/MedicalClinic.name|Arzthaus
buildinginfo.json/MedicalClinic.description|Sorgt dafür, dass Menschen länger und glücklicher leben.
buildinginfo.json/MedicalClinic.showUnlockHint|Baue eine Fabrik für veredeltes Metall!
buildinginfo.json/Pub.name|Kneipe
buildinginfo.json/Pub.description|Ein guter Ort um sich zu versammeln.
buildinginfo.json/Restaurant.name|Restaurant
buildinginfo.json/Restaurant.description|Es ist gemütlich und hat gutes Essen.
buildinginfo.json/Restaurant.showUnlockHint|Baue 5 Kneipen!
buildinginfo.json/FactoryPub.name|Fabrikenkneipe
buildinginfo.json/FactoryPub.description|Eine kleine Kneipe mit einer Produktion für veredelte Metalle nebendran.\nWird nicht durch experimentelle Labore geboostet.
buildinginfo.json/BlossomRestaurant.name|Blütenrestaurant
buildinginfo.json/BlossomRestaurant.description|Speise unter dem prächtigen Blütendach des Baumes! Baut man mehrere übereinander, können die Gäste auch auf den dickeren Ästen sitzen.
buildinginfo.json/Park.name|Park
buildinginfo.json/Park.description|Ein wunderbarer Ort zum Entspannen.
buildinginfo.json/BotanicalGardens.name|Botanischer Garten
buildinginfo.json/BotanicalGardens.description|Ein schöner Garten voll exotischer Pflanzen.
buildinginfo.json/BotanicalGardens.showUnlockHint|Baue 10 Parks und 5 Labore!
buildinginfo.json/Aquarium.name|Aquarium
buildinginfo.json/Aquarium.description|Statt im Trüben zu fischen, können die Einwohner die Natur genießen.
buildinginfo.json/Aquarium.showUnlockHint|Baue 12 Kräutergärten!
buildinginfo.json/NightClub.name|Nachtclub
buildinginfo.json/NightClub.description|Einige Leute werden viele schöne Erinnerungen in diesem Club sammeln.
buildinginfo.json/ScrapyardNightClub.name|Schrottplatznachtclub
buildinginfo.json/ScrapyardNightClub.description|Ein Nachtclub voll komischer Maschinen.
buildinginfo.json/ModernArtMuseum.name|Museum der modernen Kunst
buildinginfo.json/ModernArtMuseum.description|Abstrakte Kunst von aufsteigenden Künstlern.
buildinginfo.json/ModernArtMuseum.showUnlockHint|Baue eine Fabrik für veredeltes Metall!
buildinginfo.json/StatueGarden.name|Skulpturengarten
buildinginfo.json/StatueGarden.description|Das ist Kunst. Wenn du den Garten betrittst, bewunderst du die Kunst.
buildinginfo.json/Arcade.name|Arkaden
buildinginfo.json/Arcade.description|Videospiele für die ganze Familie!
buildinginfo.json/Arcade.showUnlockHint|Baue eine Fabrik für Computerchips um es freizuschalten!
buildinginfo.json/HoloGameHall.name|Holospielhalle
buildinginfo.json/HoloGameHall.description|Videospiele der Zukunft!
buildinginfo.json/Workshop.name|Workshop
buildinginfo.json/Workshop.description|Alle Fabriken für Maschinenteile arbeiten schneller. Darüberhinaus können Arbeiter entweder Wissen generieren oder Maschinenteile aus Holz fertigen.
buildinginfo.json/ResearchBot.name|Forschungs Bot
buildinginfo.json/ResearchBot.description|Ein Forscher kann von diesem kleinen Raumschiff aus Wissen sammeln. Es kann kein Gebäude oder eine Welt direkt darüber sein.
buildinginfo.json/ExperimentalFarm.name|Experimentelle Farm
buildinginfo.json/ExperimentalFarm.description|Produziert Nahrung und fördert das Wachstum von Pflanzen in Gewächshäusern.
buildinginfo.json/Observatory.name|Observatorium
buildinginfo.json/Observatory.description|Produziert Wissen. Kann nur auf dem Boden oder Dach platziert werden.
buildinginfo.json/ArtColony.name|Kunstkolonie
buildinginfo.json/ArtColony.description|Ein Haus der Kreativität, welches Kunst und Unterhaltung fördert.
buildinginfo.json/ArtColony.showUnlockHint|Baue 3 moderne Kunstmuseen!
buildinginfo.json/CityHall.name|Rathaus
buildinginfo.json/CityHall.description|Erlaubt die Erstellung von Politiken und die Erstellung eines Stadtnamens.
buildinginfo.json/StoneResearchCenter.name|Zentrum für Bergbauforschung
buildinginfo.json/StoneResearchCenter.description|Fördert die Produktion von Steinen basierend auf Wissensproduktion und Anzahl der Arbeiter.
buildinginfo.json/StoneResearchCenter.showUnlockHint|Baue 15 Steinbrüche und drei Felsteleporter.
buildinginfo.json/ComputerResearchCenter.name|Zentrum der Computerforschung
buildinginfo.json/ComputerResearchCenter.description|Produziert Wissen und erlaubt die Erforschung von Fabriken für Computerchips.
buildinginfo.json/ComputerResearchCenter.showUnlockHint|Baue 5 Labore und eine Fabrik für veredelte Metalle!
buildinginfo.json/LivingResearchCenter.name|Zentrum für Lebensforschung
buildinginfo.json/LivingResearchCenter.description|Ermöglicht das Verbessern von Häusern und beherbergt 2 Bewohner, die Wissen produzieren.
buildinginfo.json/LivingResearchCenter.showUnlockHint|Habe 200 Einwohner mit einem Dach über den Kopf!
buildinginfo.json/HackerHQ.name|Hacker der lockeren Schraube HQ
buildinginfo.json/HackerHQ.description|Diese Hacker sind stets gut gelaunt und hilfsbereit.\nDie meiste Zeit basteln sie an ihren Computern oder schreiben Programme. Manche ihrer Erfindungen sind sogar nützlich.
buildinginfo.json/HackerHQ.showUnlockHint|Baue 3 Arkaden!
buildinginfo.json/AlienDecryptor.name|Alien-Entschlüsseler
buildinginfo.json/AlienDecryptor.description|Ein Computer, spezialisiert darin die Geheimnisse der Aliens zu entschlüsseln.
buildinginfo.json/EscapeRoom.name|Escape Room-Labor
buildinginfo.json/EscapeRoom.description|Ein herausfordernder Escape Room ganz im Thema eines Labors. Achtung, Laser sind echt.
buildinginfo.json/Misdirector.name|Fehlleiter
buildinginfo.json/Misdirector.description|Wann immer jemand den Teleporter nutzt, besteht die Möglichkeit, dass er hierhin geleitet wird. Das verwirrt die Person zwar, generiert jedoch Wissen über das Verhalten von Menschen, die verwirrt sind. Außerdem halbiert er die Betriebskosten aller Teleporter. Nutzlos kann er also nicht sein.
buildinginfo.json/TheContraption.name|Die Falle
buildinginfo.json/TheContraption.description|.
buildinginfo.json/SecretSocietyHouse.name|Geheime Gesellschaft des Schlüssels
buildinginfo.json/SecretSocietyHouse.description|Die geheime Gesellschaft des Schlüssels hat sich dazu bereit erklärt hier Wohnung zu beziehen. Vorausgesetzt, eine hinreichende Residenz wird zur Verfügung gestellt. Im Gegenzug erweist sie dir die Ehre, Aufgaben größter Wichtigkeit und Geheimhaltung zu erfüllen.
buildinginfo.json/TheMachine.name|Die Maschine
buildinginfo.json/TheMachine.description|Lässt Mitglieder der Geheimen Gesellschaft des Schlüssels ewig leben. Produziert außerdem eine zufällige Ressource jeden Tag.
buildinginfo.json/BlossomHippieHQ.name|Zentrum der Blumenhippies
buildinginfo.json/BlossomHippieHQ.description|Diese Hippies lieben Blumen, Musik und Frieden. Wenn es dir nichts ausmacht, hätten sie außerdem einige Aufgaben für dich.
buildinginfo.json/BlossomHippieHQ.showUnlockHint|Baue einen Turm von 20 botanischen Gärten.
buildinginfo.json/FestivalHQ.name|Festival HQ
buildinginfo.json/FestivalHQ.description|Organisiere großartige Musikfestivals um deine Einwohner zu unterhalten!
buildinginfo.json/Supercomputer.name|Supercomputer
buildinginfo.json/Supercomputer.description|Produziert Wissen basierend auf der Menge an Laboranten in der Stadt. Schaltet außerdem einige Verbesserungen frei.
buildinginfo.json/RocketLaunchPlatform.name|Raketenstartplattform
buildinginfo.json/RocketLaunchPlatform.description|Beschreibung
buildinginfo.json/TreeHuggerBase.name|Kuschelbaum
buildinginfo.json/TreeHuggerBase.description|Wer würden diesen Baum nicht umarmen?
buildinginfo.json/FossilMuseum.name|Museum der Weltallfossile
buildinginfo.json/FossilMuseum.description|Fossile, welche vom Fossildetektor gefunden wurden, werden hier ausgestellt. Verbessert die Bildung von Besuchern und Arbeiter produzieren Wissen basierend auf der Anzahl der Fossile.
buildinginfo.json/StatueOfHappiness.name|Statue des Glücks
buildinginfo.json/StatueOfHappiness.description|Ein Dankeschön deiner Einwohner für das Erreichen von 100 Zufriedenheit!
